"filename", "language", "XML", "Swift", "C++", "JSON", "HTML", "Dart", "Markdown", "YAML", "Gradle", "Java Properties", "comment", "blank", "total"
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\checkout\presentation\views\address_view.dart", "Dart", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\checkout\presentation\views\checkout_done_view.dart", "Dart", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 3, 72
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\checkout\presentation\views\order_tracking_view.dart", "Dart", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 4, 3, 21
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\checkout\presentation\views\payment_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 3, 18
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\checkout\presentation\views\review_order_view.dart", "Dart", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 1, 3, 25
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\checkout\presentation\views\shipping_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 3, 24
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\checkout\presentation\views\widgets\body\address_view_body.dart", "Dart", 0, 0, 0, 0, 0, 205, 0, 0, 0, 0, 29, 23, 257
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\checkout\presentation\views\widgets\body\order_tracking_view_body.dart", "Dart", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 18, 3, 43
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\checkout\presentation\views\widgets\body\payment_view_body.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 223, 7, 230
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\checkout\presentation\views\widgets\body\review_order_view_body.dart", "Dart", 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 2, 8, 92
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\checkout\presentation\views\widgets\body\shipping_view_body.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 6, 63
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\checkout\presentation\views\widgets\checkout_status_row.dart", "Dart", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 1, 4, 39
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\checkout\presentation\views\widgets\checkout_status_row_item.dart", "Dart", 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 2, 59
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\checkout\presentation\views\widgets\custom_divider.dart", "Dart", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 3, 17
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\checkout\presentation\views\widgets\custom_order_state_row.dart", "Dart", 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 1, 3, 78
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\checkout\presentation\views\widgets\delivery_address_card.dart", "Dart", 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 2, 2, 78
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\checkout\presentation\views\widgets\order_card.dart", "Dart", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 4, 47
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\checkout\presentation\views\widgets\order_details.dart", "Dart", 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 3, 67
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\checkout\presentation\views\widgets\order_state_card.dart", "Dart", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 4, 56
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\checkout\presentation\views\widgets\order_summary_card.dart", "Dart", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 4, 72
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\checkout\presentation\views\widgets\payment_method.dart", "Dart", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 4, 38
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\checkout\presentation\views\widgets\payment_method_card.dart", "Dart", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 5, 4, 78
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\checkout\presentation\views\widgets\payment_method_list_tile.dart", "Dart", 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 4, 84
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\checkout\presentation\views\widgets\section_title.dart", "Dart", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 4, 20
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\checkout\presentation\views\widgets\summary_row.dart", "Dart", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\home\presintation\admin\cubit\view_all_products_cubit.dart", "Dart", 0, 0, 0, 0, 0, 135, 0, 0, 0, 0, 20, 28, 183
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\home\presintation\admin\cubit\view_all_products_state.dart", "Dart", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 13, 34
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\home\presintation\views\home_view.dart", "Dart", 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 13, 8, 105
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\home\presintation\views\widgets\categores.dart", "Dart", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 4, 44
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\home\presintation\views\widgets\swiper.dart", "Dart", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 4, 43
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\profile\presintation\views\profile_view.dart", "Dart", 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 23, 9, 118
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\profile\presintation\views\widgets\list_tile.dart", "Dart", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 3, 36
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\profile\presintation\views\widgets\log_in_out_button.dart", "Dart", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 4, 37
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\profile\presintation\views\widgets\user_details.dart", "Dart", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 4, 51
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\search\presintation\views\search_view.dart", "Dart", 0, 0, 0, 0, 0, 125, 0, 0, 0, 0, 0, 10, 135
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\search\presintation\views\widgets\search_text_field.dart", "Dart", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 3, 3, 45
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\firebase_options.dart", "Dart", 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 12, 6, 82
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\generated\intl\messages_all.dart", "Dart", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 10, 10, 64
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\generated\intl\messages_en.dart", "Dart", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 10, 7, 26
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\generated\l10n.dart", "Dart", 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 8, 15, 79
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\l10n\intl_en.arb", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 1, 7, 81
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 5, 20
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\linux\main.cc", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\linux\my_application.cc", "C++", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\linux\my_application.h", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 25
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\macos\Runner\AppDelegate.swift", "Swift", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\macos\Runner\Base.lproj\MainMenu.xib", "XML", 343, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 344
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\macos\firebase_app_id_file.json", "JSON", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 52, 9, 110
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 10, 7, 31
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\web\index.html", "HTML", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 16, 6, 60
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\web\manifest.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 4, 5, 27
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\windows\runner\flutter_window.cpp", "C++", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\windows\runner\flutter_window.h", "C++", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\windows\runner\main.cpp", "C++", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\windows\runner\resource.h", "C++", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\windows\runner\utils.cpp", "C++", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\windows\runner\utils.h", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\windows\runner\win32_window.cpp", "C++", 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\windows\runner\win32_window.h", "C++", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 559, 64, 554, 311, 38, 4331, 13, 53, 94, 8, 1179, 852, 8056